"Name","Window","n_Units","n_Epochs","ActList","rmse_lstm","mae_lstm","Energy_Consumed"
"ethereal-sweep-6","2","100","200","relu","5.7051988843989","4.769029524477066","0.0000012619777391643716"
"fragrant-sweep-5","2","50","200","relu","7.214669838568526","5.829197081141317","0.0000014825148542156005"
"solar-sweep-32","2","50","100","linear","7.461478149191994","6.059736915834487","0.0000013153488513992469"
"comic-sweep-2","2","50","100","relu","7.687972321219853","6.467680175978137","0.0000013419294571281172"
"apricot-sweep-33","2","100","100","linear","6.647504380911939","5.536965244219379","0.0000012451355055883242"
"easy-sweep-3","2","100","100","relu","5.096308983732851","4.2421781190933725","0.0000017221590834234728"
"driven-sweep-35","2","50","200","linear","6.359271370767642","5.326340551757812","0.0000012460887622883852"
"comic-sweep-31","2","10","100","linear","7.317315878028955","5.611989959126133","0.0000013472640085860298"
"floral-sweep-36","2","100","200","linear","6.269531076290822","5.423962163322201","0.0000029761032543078477"
"glad-sweep-1","2","10","100","relu","5.57599150999216","4.392138047544417","0.0000014427463362452875"
"misunderstood-sweep-34","2","10","200","linear","5.941881852445156","4.800713413164692","0.000001235509763120793"
"pleasant-sweep-4","2","10","200","relu","6.741904967567684","5.839981401209678","0.0000013033701724153463"
"confused-sweep-10","3","10","200","relu","8.29872687758453","7.147916351121471","0.000001401492130335353"
"denim-sweep-40","3","10","200","linear","8.566588798695431","7.600945235713835","0.0000013432769177266991"
"fiery-sweep-9","3","100","100","relu","8.274485983787706","7.366717778359689","0.000001295635584754488"
"easy-sweep-42","3","100","200","linear","8.470865770100438","7.64754077837544","0.0000013232073317139265"
"wild-sweep-41","3","50","200","linear","7.317638185702911","6.545706927490234","0.0000012237952519442135"
"fluent-sweep-38","3","50","100","linear","8.482892709775404","7.321005567193799","0.0000012795592330384253"
"devout-sweep-11","3","50","200","relu","8.34787682599196","7.463248308341734","0.0000012981031987686088"
"comic-sweep-39","3","100","100","linear","7.4035588979900675","6.154449026587701","0.0000012474874181984636"
"super-sweep-8","3","50","100","relu","8.300405614309446","7.34428132875504","0.0000034891150883124237"
"grateful-sweep-12","3","100","200","relu","8.222068074244088","6.9449493638561615","0.000001282093400957491"
"curious-sweep-7","3","10","100","relu","2.249301595263072","1.801172987021169","0.0000014001651478613692"
"helpful-sweep-37","3","10","100","linear","8.474870082476139","7.145854945028982","0.0000013105477550871253"
"exalted-sweep-18","4","100","200","relu","9.042043936778375","8.050222096498551","0.0000012980202623639848"
"worthy-sweep-15","4","100","100","relu","8.299628548904405","7.2911798942319805","0.0000012954195405399738"
"firm-sweep-44","4","50","100","linear","8.766745387051936","7.967812661250945","0.0000013810723683919454"
"summer-sweep-46","4","10","200","linear","9.193198048198283","8.200813119999056","0.0000023666148796947557"
"unique-sweep-48","4","100","200","linear","9.241583046769891","8.313678295307774","0.0000013790470818691522"
"upbeat-sweep-16","4","10","200","relu","7.470010914411991","6.53116116963048","0.000001260466788392528"
"smooth-sweep-13","4","10","100","relu","8.830661662149437","7.819401122062436","0.00000128844673911418"
"driven-sweep-17","4","50","200","relu","9.144721275967555","8.194425966324346","0.0000013252213552681902"
"rich-sweep-14","4","50","100","relu","9.131325797563363","8.037854945422758","0.000001264385966617157"
"distinctive-sweep-43","4","10","100","linear","8.349302681336153","7.416330766247164","0.000001255001866019888"
"smart-sweep-47","4","50","200","linear","8.80405703439062","7.821476898587134","0.0000013114713185065185"
"fast-sweep-45","4","100","100","linear","9.05955187579086","8.122330140735256","0.0000013278446030292596"
"noble-sweep-24","5","100","200","relu","8.342309541537416","7.5303378565634445","0.000003099407162046646"
"grateful-sweep-52","5","10","200","linear","7.810065624195792","6.874233037739414","0.0000012812978258168387"
"clean-sweep-21","5","100","100","relu","8.049884949209344","7.139500027564264","0.0000013497336704126106"
"leafy-sweep-51","5","100","100","linear","9.623242967081596","8.423755780619958","0.0000012914723820236102"
"proud-sweep-54","5","100","200","linear","8.138675381448685","7.306003631985571","0.0000012712184928894506"
"sweepy-sweep-22","5","10","200","relu","8.768161365657738","7.584496760411416","0.0000012926519220004843"
"gallant-sweep-19","5","10","100","relu","9.163364910126983","8.269299843080582","0.00000130139403339159"
"cerulean-sweep-49","5","10","100","linear","8.768221733248017","7.877114994172128","0.0000013762047181748789"
"good-sweep-53","5","50","200","linear","9.29760726549438","8.318507157848726","0.0000013268524378924618"
"clear-sweep-23","5","50","200","relu","8.620862665766207","7.561709035565775","0.0000013473080365539167"
"usual-sweep-20","5","50","100","relu","8.975660658034318","7.891709887498424","0.000001343498856794238"
"misty-sweep-50","5","50","100","linear","8.721552633818002","7.598188754567791","0.0000012648712981701416"
"laced-sweep-60","6","100","200","linear","8.986490952556084","7.803517325518208","0.0000013382863987620414"
"whole-sweep-58","6","10","200","linear","6.69630315309518","5.8431407783754405","0.0000012865248671206092"
"fresh-sweep-25","6","10","100","relu","10.254090696325749","8.407270058318105","0.0000012724738019273395"
"light-sweep-59","6","50","200","linear","8.806822771400611","7.65818510131836","0.0000012882481013055744"
"restful-sweep-30","6","100","200","relu","8.081260512253797","7.093876827116935","0.0000013624587770381268"
"fresh-sweep-57","6","100","100","linear","9.523872960553163","8.191673356382308","0.0000013432154833529038"
"upbeat-sweep-27","6","100","100","relu","8.555839018666306","7.36803222085276","0.0000012886197792670372"
"earthy-sweep-56","6","50","100","linear","8.998546284468683","7.761335204290574","0.0000013806740688685043"
"vibrant-sweep-26","6","50","100","relu","8.271887508385584","7.180970199092741","0.000001269960112132872"
"young-sweep-29","6","50","200","relu","8.658448515919135","7.518551480791644","0.0000012883545875534866"
"northern-sweep-28","6","10","200","relu","8.65338026223","7.7965523872621585","0.000003224676969746902"
"jolly-sweep-55","6","10","100","linear","8.93393360164035","7.692186985138923","0.0000012997424726427198"